Outlet_ID,product_type,Month,total_sales,no_units,total_volume,area(sqft)
ID1008,1,1,1365360.0,13564.0,2712.8,3387.0
ID1008,1,2,837760.0,8281.0,1656.2,3387.0
ID1008,1,3,1087870.0,11157.0,2231.4,3387.0
ID1012,0,1,1162350.0,1053.0,1053.0,1931.0
ID1012,0,2,1333800.0,1188.0,1188.0,1931.0
ID1012,0,3,1152500.0,1034.0,1034.0,1931.0
ID1024,0,1,2406350.0,2188.0,2188.0,3127.0
ID1024,0,2,2554600.0,2284.0,2284.0,3127.0
ID1024,0,3,2765350.0,2471.0,2471.0,3127.0
ID1029,0,1,3568850.0,3227.0,3227.0,5294.0
ID1029,0,2,2729650.0,2438.0,2438.0,5294.0
ID1029,0,3,3008850.0,2697.0,2697.0,5294.0
ID1029,1,1,1315240.0,13190.0,2638.0,5294.0
ID1029,1,2,1340930.0,13284.0,2656.8,5294.0
ID1029,1,3,1437640.0,14306.0,2861.2000000000003,5294.0
ID1036,0,1,1199750.0,1080.0,1080.0,2584.0
ID1036,0,2,1110900.0,1001.0,1001.0,2584.0
ID1036,0,3,1203000.0,1080.0,1080.0,2584.0
ID1036,1,1,1082810.0,10798.0,2159.6,2584.0
ID1036,1,2,715240.0,7170.0,1434.0,2584.0
ID1036,1,3,1027170.0,10235.0,2047.0,2584.0
ID1043,0,1,2749150.0,2441.0,2441.0,8892.0
ID1043,0,2,3089600.0,2818.0,2818.0,8892.0
ID1043,0,3,3330650.0,2948.0,2948.0,8892.0
ID1043,1,1,1534180.0,15292.0,3058.4,8892.0
ID1043,1,2,1348640.0,13443.0,2688.6,8892.0
ID1043,1,3,1347880.0,13555.0,2711.0,8892.0
ID1072,1,1,886490.0,8895.0,1779.0,1721.0
ID1072,1,2,493050.0,4935.0,987.0,1721.0
ID1072,1,3,728930.0,7285.0,1457.0,1721.0
ID1083,1,1,1214290.0,12157.0,2431.4,3234.0
ID1083,1,2,1063610.0,10547.0,2109.4,3234.0
ID1083,1,3,1107930.0,10997.0,2199.4,3234.0
ID1093,0,1,3165200.0,2828.0,2828.0,8860.0
ID1093,0,2,2547100.0,2297.0,2297.0,8860.0
ID1093,0,3,3458850.0,3075.0,3075.0,8860.0
ID1093,1,1,1505180.0,14916.0,2983.2,8860.0
ID1093,1,2,1314390.0,13012.0,2602.4,8860.0
ID1093,1,3,1264600.0,12645.0,2529.0,8860.0
ID1097,1,1,885810.0,8777.0,1755.4,4175.0
ID1097,1,2,1172420.0,11754.0,2350.8,4175.0
ID1097,1,3,896510.0,9184.0,1836.8,4175.0
ID1110,1,1,1267980.0,12635.0,2527.0,4051.0
ID1110,1,2,1029470.0,10143.0,2028.6,4051.0
ID1110,1,3,1022610.0,10219.0,2043.8,4051.0
ID1125,0,1,815750.0,745.0,745.0,1189.0
ID1125,0,2,1180000.0,1055.0,1055.0,1189.0
ID1125,0,3,1192450.0,1070.0,1070.0,1189.0
ID1125,1,1,906200.0,9028.0,1805.6000000000001,1189.0
ID1125,1,2,839420.0,8522.0,1704.4,1189.0
ID1125,1,3,973580.0,9831.0,1966.2,1189.0
ID1134,0,1,1556150.0,1404.0,1404.0,2961.0
ID1134,0,2,1001300.0,888.0,888.0,2961.0
ID1134,0,3,1366750.0,1239.0,1239.0,2961.0
ID1136,0,1,3427400.0,3097.0,3097.0,6590.0
ID1136,0,2,3476850.0,3120.0,3120.0,6590.0
ID1136,0,3,3598000.0,3256.0,3256.0,6590.0
ID1136,1,1,1363420.0,13676.0,2735.2000000000003,6590.0
ID1136,1,2,1296960.0,13047.0,2609.4,6590.0
