Outlet_ID,Cluster,total_sales,no_units,total_volume
ID1008,2,1096996.6666666667,11000.666666666666,2200.1333333333337
ID1012,2,1216216.6666666667,1091.6666666666667,1091.6666666666667
ID1024,0,2575433.3333333335,2314.3333333333335,2314.3333333333335
ID1029,0,2869250.0,2567.5,2567.5
ID1029,1,3568850.0,3227.0,3227.0
ID1029,2,1364603.3333333333,13593.333333333334,2718.6666666666665
ID1036,2,1056478.3333333333,5227.333333333333,1466.9333333333334
ID1043,0,2919375.0,2629.5,2629.5
ID1043,1,3330650.0,2948.0,2948.0
ID1043,2,1410233.3333333333,14096.666666666666,2819.3333333333335
ID1072,2,702823.3333333334,7038.333333333333,1407.6666666666667
ID1083,2,1128610.0,11233.666666666666,2246.7333333333336
ID1093,0,2856150.0,2562.5,2562.5
ID1093,1,3458850.0,3075.0,3075.0
ID1093,2,1361390.0,13524.333333333334,2704.866666666667
ID1097,2,984913.3333333334,9905.0,1981.0
ID1110,2,1106686.6666666667,10999.0,2199.7999999999997
ID1125,2,984566.6666666666,5041.833333333333,1391.0333333333335
ID1134,2,1308066.6666666667,1177.0,1177.0
ID1136,1,3500750.0,3157.6666666666665,3157.6666666666665
ID1136,2,1351593.3333333333,13569.0,2713.8
ID1137,0,2264366.6666666665,2050.6666666666665,2050.6666666666665
ID1143,2,1046051.6666666666,5211.5,1459.6333333333332
ID1150,2,1185973.3333333333,11902.666666666666,2380.5333333333333
ID1193,0,3095650.0,2779.0,2779.0
ID1193,1,3811975.0,3419.5,3419.5
ID1193,2,1571860.0,15750.666666666666,3150.1333333333337
ID1202,1,3633500.0,3262.3333333333335,3262.3333333333335
ID1202,2,1533996.6666666667,15492.333333333334,3098.4666666666667
ID1210,2,1012100.0,5105.666666666667,1421.1333333333334
ID1214,2,1152766.6666666667,1043.3333333333333,1043.3333333333333
ID1217,2,998708.3333333334,4726.333333333333,1361.2666666666667
ID1234,2,1151640.0,11448.666666666666,2289.733333333333
ID1255,2,1016526.6666666666,5010.5,1410.2333333333333
ID1256,2,977178.3333333334,4260.333333333333,1290.8666666666666
ID1259,2,1030813.3333333334,10346.666666666666,2069.3333333333335
ID1279,0,2893450.0,2636.0,2636.0
ID1279,1,3504850.0,3154.5,3154.5
ID1279,2,1362350.0,13585.0,2717.0
ID1298,0,2280133.3333333335,2062.6666666666665,2062.6666666666665
ID1303,0,2848800.0,2589.0,2589.0
ID1303,1,3855475.0,3491.0,3491.0
ID1303,2,1552420.0,15506.0,3101.2000000000003
ID1304,0,2399050.0,2165.3333333333335,2165.3333333333335
ID1304,2,1676116.6666666667,16772.333333333332,3354.466666666667
ID1307,2,1022135.0,4843.166666666667,1396.6333333333332
ID1314,0,2857150.0,2603.0,2603.0
ID1314,1,3528300.0,3177.5,3177.5
ID1314,2,1455600.0,14596.666666666666,2919.3333333333335
ID1323,2,874055.0,3930.1666666666665,1166.9666666666667
ID1329,2,710783.3333333334,7065.333333333333,1413.0666666666668
ID1338,0,2760883.3333333335,2492.3333333333335,2492.3333333333335
ID1356,2,1069635.0,5221.666666666667,1478.8666666666668
ID1360,2,1243133.3333333333,1121.6666666666667,1121.6666666666667
ID1365,2,1267256.6666666667,7099.833333333333,1861.8333333333333
ID1379,0,2596783.3333333335,2334.3333333333335,2334.3333333333335
ID1382,2,968128.3333333334,4611.5,1322.1666666666667
ID1414,2,1042443.3333333334,5192.833333333333,1452.1666666666667
ID1417,0,2612350.0,2354.6666666666665,2354.6666666666665
ID1425,0,2863200.0,2559.5,2559.5
ID1425,1,3520450.0,3155.0,3155.0
ID1425,2,1344903.3333333333,13447.0,2689.4
ID1429,0,2348633.3333333335,2117.3333333333335,2117.3333333333335
ID1429,2,842023.3333333334,8463.666666666666,1692.7333333333333
ID1443,1,4021366.6666666665,3620.3333333333335,3620.3333333333335
ID1443,2,1449790.0,14548.666666666666,2909.7333333333336
ID1446,2,949596.6666666666,4144.833333333333,1249.5
ID1467,1,3848833.3333333335,3466.3333333333335,3466.3333333333335
ID1467,2,1256916.6666666667,12427.0,2485.4
ID1476,2,962850.0,4343.833333333333,1286.5
ID1479,0,2443085.0,10921.0,3261.8
ID1479,1,3561100.0,3186.0,3186.0
ID1479,2,1259610.0,12718.0,2543.6
ID1480,0,2923050.0,2629.5,2629.5
ID1480,1,3260900.0,2959.0,2959.0
ID1480,2,1504603.3333333333,15098.666666666666,3019.7333333333336
ID1484,0,2869800.0,2605.0,2605.0
ID1484,1,3644050.0,3319.0,3319.0
ID1484,2,1631436.6666666667,16219.666666666666,3243.933333333333
ID1485,1,5741300.0,5178.333333333333,5178.333333333333
ID1485,2,1479750.0,14926.0,2985.2000000000003
ID1494,2,678530.0,6753.666666666667,1350.7333333333333
