Outlet_ID,week,pid,no_units,area(sqft),volume,price,Month,total_sales,product_type,total_volume
ID7203,1,5,874.0,5660.0,0.2,100,1,87400.0,1,174.8
ID1878,1,5,918.0,4138.0,0.2,100,1,91800.0,1,183.6
ID1740,1,5,188.0,5546.0,0.2,100,1,18800.0,1,37.6
ID4366,1,5,117.0,5134.0,0.2,100,1,11700.0,1,23.4
ID4722,1,5,327.0,5593.0,0.2,100,1,32700.0,1,65.4
ID5579,1,5,537.0,4184.0,0.2,100,1,53700.0,1,107.4
ID3876,1,5,298.0,4063.0,0.2,100,1,29800.0,1,59.6
ID7275,1,5,681.0,3162.0,0.2,100,1,68100.0,1,136.20000000000002
ID3726,1,5,812.0,5537.0,0.2,100,1,81200.0,1,162.4
ID9528,1,5,210.0,5763.0,0.2,100,1,21000.0,1,42.0
ID3656,1,5,511.0,4795.0,0.2,100,1,51100.0,1,102.2
ID4395,1,5,868.0,3719.0,0.2,100,1,86800.0,1,173.60000000000002
ID7405,1,5,343.0,4797.0,0.2,100,1,34300.0,1,68.60000000000001
ID9945,1,5,867.0,3050.0,0.2,100,1,86700.0,1,173.4
ID6950,1,5,156.0,5765.0,0.2,100,1,15600.0,1,31.200000000000003
ID5199,1,5,494.0,4126.0,0.2,100,1,49400.0,1,98.8
ID5556,1,5,1095.0,3439.0,0.2,100,1,109500.0,1,219.0
ID8920,1,5,950.0,4936.0,0.2,100,1,95000.0,1,190.0
ID6352,1,5,624.0,4223.0,0.2,100,1,62400.0,1,124.8
ID2508,1,5,468.0,4266.0,0.2,100,1,46800.0,1,93.6
ID5561,1,5,452.0,4393.0,0.2,100,1,45200.0,1,90.4
ID6952,1,5,535.0,5690.0,0.2,100,1,53500.0,1,107.0
ID5295,1,5,348.0,4459.0,0.2,100,1,34800.0,1,69.60000000000001
ID8631,1,5,925.0,3610.0,0.2,100,1,92500.0,1,185.0
ID8493,1,5,407.0,3964.0,0.2,100,1,40700.0,1,81.4
ID6166,1,5,232.0,3639.0,0.2,100,1,23200.0,1,46.400000000000006
ID2979,1,5,887.0,4136.0,0.2,100,1,88700.0,1,177.4
ID9941,1,5,1088.0,4967.0,0.2,100,1,108800.0,1,217.6
ID1110,1,5,174.0,4051.0,0.2,100,1,17400.0,1,34.800000000000004
ID1734,1,5,551.0,4648.0,0.2,100,1,55100.0,1,110.2
ID8228,1,5,379.0,5406.0,0.2,100,1,37900.0,1,75.8
ID3807,1,5,549.0,5632.0,0.2,100,1,54900.0,1,109.8
ID5879,1,5,1049.0,4879.0,0.2,100,1,104900.0,1,209.8
ID2673,1,5,911.0,5685.0,0.2,100,1,91100.0,1,182.2
ID6055,1,5,861.0,4779.0,0.2,100,1,86100.0,1,172.20000000000002
ID6055,1,5,130.0,4779.0,0.2,100,1,13000.0,1,26.0
ID3715,1,5,1045.0,4303.0,0.2,100,1,104500.0,1,209.0
ID9780,1,5,387.0,3544.0,0.2,100,1,38700.0,1,77.4
ID6863,1,5,251.0,3606.0,0.2,100,1,25100.0,1,50.2
ID5591,1,5,197.0,3886.0,0.2,100,1,19700.0,1,39.400000000000006
ID9919,1,5,1076.0,3210.0,0.2,100,1,107600.0,1,215.2
ID4975,1,5,954.0,4832.0,0.2,100,1,95400.0,1,190.8
ID3946,1,5,720.0,4865.5,0.2,100,1,72000.0,1,144.0
ID3946,1,5,1129.0,4865.5,0.2,100,1,112900.0,1,225.8
ID7416,1,5,209.0,3642.0,0.2,100,1,20900.0,1,41.8
ID6026,1,5,378.0,4395.0,0.2,100,1,37800.0,1,75.60000000000001
ID7321,1,5,861.0,5905.0,0.2,100,1,86100.0,1,172.20000000000002
ID3582,1,5,1128.0,5368.0,0.2,100,1,112800.0,1,225.6
ID4625,1,5,246.0,3445.0,0.2,100,1,24600.0,1,49.2
ID3447,1,5,1075.0,5947.0,0.2,100,1,107500.0,1,215.0
ID4092,1,5,594.0,4738.0,0.2,100,1,59400.0,1,118.8
